method,n_points,dofs,n_samples,mat_shape,min_eig,neg_count,near_zero_count,symmetry_rel_err,symmetry_ok,symmetry_frob_diff,error
simpson,64,64,128,50,-9.40010150238196e-06,2,0,0.005444805804712822,False,0.0028043922569744822,
simpson,64,64,256,50,-9.400101502386325e-06,2,0,0.005444805804712829,False,0.0028043922569744857,
simpson,64,64,512,50,-9.400101502381395e-06,2,0,0.005444805804712822,False,0.0028043922569744822,
simpson,64,64,1024,50,-9.400101502381224e-06,2,0,0.005444805804712846,False,0.002804392256974494,
simpson,64,128,32,50,-9.40010150238196e-06,2,0,0.005444805804712822,False,0.0028043922569744822,
simpson,64,128,64,50,-9.40010150238196e-06,2,0,0.005444805804712822,False,0.0028043922569744822,
simpson,64,128,128,50,-9.40010150238196e-06,2,0,0.005444805804712822,False,0.0028043922569744822,
simpson,64,128,256,50,-9.400101502386325e-06,2,0,0.005444805804712829,False,0.0028043922569744857,
simpson,64,128,512,50,-9.400101502381395e-06,2,0,0.005444805804712822,False,0.0028043922569744822,
simpson,64,128,1024,50,-9.400101502381224e-06,2,0,0.005444805804712846,False,0.002804392256974494,
trapz,64,32,32,50,-0.00010338378568876877,17,1,0.002620161657671487,False,0.0013495275411654908,
trapz,64,32,64,50,-1.419173984806145e-17,0,18,2.834784724802195e-15,True,1.4600677336959369e-15,
trapz,64,32,128,50,-9.850803906373459e-18,0,18,2.8329959783409735e-15,True,1.4591464323466874e-15,
trapz,64,32,256,50,-4.943126190000779e-18,0,18,2.833890377140271e-15,True,1.4596070961905712e-15,
trapz,64,32,512,50,-1.0947096766121706e-17,0,18,2.8329305503432416e-15,True,1.4591127333826944e-15,
trapz,64,32,1024,50,-1.5747565005931307e-17,0,18,2.8508425808152885e-15,True,1.4683383996240835e-15,
trapz,64,64,32,50,1.6496736927231903e-05,0,0,2.8345973007477305e-15,True,1.4599712574054232e-15,
trapz,64,64,64,50,1.6496736927231903e-05,0,0,2.8345973007477305e-15,True,1.4599712574054232e-15,
trapz,64,64,128,50,1.6496736927230822e-05,0,0,2.832806615753093e-15,True,1.4590489575702584e-15,
trapz,64,64,256,50,1.6496736927231615e-05,0,0,2.833703490018018e-15,True,1.4595108964311865e-15,
trapz,64,64,512,50,1.6496736927229592e-05,0,0,2.832743673535977e-15,True,1.4590165389167015e-15,
trapz,64,64,1024,50,1.6496736927230507e-05,0,0,2.8506572183931315e-15,True,1.4682429855102928e-15,
trapz,64,128,32,50,1.6496736927230822e-05,0,0,2.832806615753093e-15,True,1.4590489575702584e-15,
trapz,64,128,64,50,1.6496736927230822e-05,0,0,2.832806615753093e-15,True,1.4590489575702584e-15,
trapz,64,128,128,50,1.6496736927230822e-05,0,0,2.832806615753093e-15,True,1.4590489575702584e-15,
trapz,64,128,256,50,1.6496736927231615e-05,0,0,2.833703490018018e-15,True,1.4595108964311865e-15,
trapz,64,128,512,50,1.6496736927229592e-05,0,0,2.832743673535977e-15,True,1.4590165389167015e-15,
trapz,64,128,1024,50,1.6496736927230507e-05,0,0,2.8506572183931315e-15,True,1.4682429855102928e-15,
simpson,128,32,32,50,-0.00010375821755896389,18,0,0.0026592916354369403,False,0.0013696817170495603,
simpson,128,32,64,50,-9.23850184225312e-08,1,17,0.00042873870221701616,False,0.00022082367559141385,
simpson,128,32,128,50,-9.238501842344349e-08,1,17,0.00042873870221701643,False,0.00022082367559141399,
simpson,128,32,256,50,-9.23850184220276e-08,1,17,0.0004287387022170162,False,0.00022082367559141388,
simpson,128,32,512,50,-9.23850184238099e-08,1,17,0.00042873870221701627,False,0.0002208236755914139,
simpson,128,32,1024,50,-9.238501845414005e-08,1,17,0.0004287387022170196,False,0.00022082367559141553,
simpson,128,64,32,50,1.654402985999704e-05,0,0,0.0004285779741786003,False,0.00022074090063411986,
simpson,128,64,64,50,1.654402985999704e-05,0,0,0.0004285779741786003,False,0.00022074090063411986,
